iter	Passed	Remaining
0	127	127178
1	128	64118
2	129	43059
3	130	32506
4	131	26188
5	132	21977
6	133	18968
7	134	16723
8	135	14965
9	136	13544
10	137	12381
11	138	11411
12	139	10602
13	141	9939
14	142	9385
15	144	8860
16	145	8386
17	145	7962
18	147	7590
19	147	7251
20	148	6942
21	149	6661
22	150	6405
23	151	6170
24	152	5950
25	153	5747
26	154	5568
27	156	5415
28	157	5276
29	158	5127
30	159	4986
31	160	4861
32	161	4744
33	162	4628
34	163	4517
35	164	4413
36	165	4313
37	166	4217
38	167	4126
39	168	4041
40	169	3960
41	170	3888
42	172	3835
43	173	3768
44	174	3699
45	175	3635
46	176	3573
47	177	3514
48	178	3458
49	179	3404
50	180	3360
51	181	3310
52	182	3260
53	183	3212
54	184	3172
55	186	3137
56	187	3101
57	188	3063
58	189	3024
59	190	2986
60	191	2948
61	192	2911
62	193	2875
63	194	2841
64	195	2805
65	195	2770
66	196	2738
67	197	2706
68	198	2676
69	199	2651
70	201	2633
71	202	2607
72	203	2580
73	204	2553
74	204	2526
75	205	2500
76	206	2475
77	207	2450
78	208	2425
79	208	2402
80	209	2379
81	210	2357
82	211	2331
83	212	2316
84	213	2296
85	214	2280
86	216	2268
87	217	2254
88	218	2237
89	219	2220
90	220	2204
91	221	2187
92	222	2174
93	224	2159
94	225	2143
95	225	2127
96	226	2111
97	227	2096
98	229	2090
99	231	2079
100	232	2069
101	233	2056
102	234	2042
103	235	2029
104	236	2017
105	237	2004
106	238	1990
107	239	1976
108	240	1963
109	241	1950
110	241	1938
111	243	1927
112	244	1916
113	245	1909
114	246	1897
115	247	1885
116	248	1872
117	248	1861
118	249	1849
119	250	1838
120	251	1828
121	252	1816
122	253	1806
123	254	1796
124	255	1786
125	256	1776
126	256	1765
127	258	1758
128	259	1751
129	260	1745
130	261	1736
131	262	1726
132	263	1716
133	264	1707
134	265	1698
135	265	1689
136	266	1680
137	267	1672
138	268	1664
139	269	1655
140	270	1647
141	270	1636
142	271	1627
143	272	1622
144	274	1616
145	275	1609
146	276	1601
147	276	1593
148	277	1585
149	278	1577
150	279	1569
151	279	1561
152	280	1553
153	281	1545
154	282	1537
155	282	1530
156	283	1522
157	284	1515
158	285	1508
159	285	1500
160	286	1492
161	287	1485
162	288	1478
163	289	1473
164	290	1468
165	290	1461
166	291	1454
167	292	1447
168	293	1441
169	293	1434
170	294	1428
171	295	1422
172	296	1416
173	297	1410
174	297	1404
175	298	1398
176	299	1392
177	300	1386
178	301	1380
179	302	1376
180	303	1371
181	304	1368
182	305	1364
183	306	1360
184	307	1356
185	309	1352
186	310	1348
187	311	1344
188	312	1340
189	313	1335
190	313	1329
191	314	1324
192	315	1319
193	316	1313
194	316	1308
195	318	1304
196	319	1300
197	319	1295
198	320	1290
199	321	1285
200	322	1280
201	322	1275
202	323	1270
203	324	1266
204	325	1261
205	325	1256
206	326	1251
207	327	1246
208	328	1242
209	329	1238
210	329	1233
211	330	1229
212	331	1224
213	332	1221
214	333	1218
215	334	1214
216	335	1210
217	336	1205
218	336	1201
219	337	1197
220	338	1193
221	339	1189
222	340	1185
223	340	1181
224	341	1176
225	342	1172
226	343	1168
227	343	1164
228	344	1160
229	345	1156
230	346	1152
231	347	1149
232	348	1146
233	349	1143
234	350	1139
235	350	1135
236	351	1131
237	352	1128
238	353	1124
239	353	1120
240	354	1116
241	355	1113
242	356	1109
243	356	1105
244	357	1102
245	358	1098
246	359	1095
247	360	1091
248	360	1088
249	361	1084
250	362	1081
251	363	1078
252	364	1075
253	365	1072
254	365	1068
255	366	1065
256	367	1062
257	368	1058
258	368	1055
259	369	1052
260	370	1049
261	371	1045
262	372	1042
263	372	1039
264	373	1036
265	374	1033
266	375	1029
267	375	1026
268	376	1023
269	377	1020
270	378	1018
271	379	1015
272	380	1013
273	381	1010
274	381	1007
275	382	1004
276	383	1001
277	384	998
278	385	995
279	385	992
280	386	989
281	387	986
282	388	983
283	388	980
284	389	977
285	390	974
286	391	971
287	392	969
288	393	967
289	394	965
290	395	962
291	397	963
292	398	961
293	399	959
294	400	956
295	401	953
296	401	951
297	402	948
298	403	946
299	404	943
300	405	941
301	406	938
302	407	936
303	408	934
304	409	932
305	410	930
306	411	928
307	412	926
308	413	924
309	414	922
310	415	920
311	416	918
312	417	915
313	418	913
314	418	910
315	419	908
316	420	905
317	421	903
318	422	902
319	423	900
320	424	897
321	425	895
322	425	892
323	426	890
324	427	887
325	428	885
326	429	882
327	429	880
328	430	878
329	431	875
330	432	873
331	433	871
332	433	868
333	434	866
334	435	864
335	436	862
336	438	861
337	439	860
338	440	858
339	440	855
340	441	853
341	442	851
342	443	848
343	443	846
344	444	844
345	445	842
346	446	839
347	447	837
348	447	835
349	448	833
350	449	830
351	450	828
352	451	826
353	452	825
354	453	823
355	454	821
356	455	819
357	455	817
358	456	815
359	457	813
360	458	811
361	459	809
362	459	807
363	460	805
364	461	803
365	462	800
366	463	798
367	463	796
368	464	794
369	465	792
370	466	790
371	467	789
372	468	787
373	469	785
374	470	783
375	470	781
376	471	779
377	472	777
378	473	775
379	473	773
380	474	771
381	475	769
382	476	767
383	477	765
384	477	763
385	478	761
386	479	759
387	480	757
388	481	755
389	482	754
390	483	752
391	483	750
392	484	748
393	485	746
394	486	744
395	487	742
396	487	740
397	488	738
398	489	736
399	490	735
400	490	733
401	491	731
402	492	729
403	493	727
404	494	725
405	494	724
406	495	722
407	496	720
408	497	719
409	498	717
410	499	715
411	500	713
412	501	712
413	502	710
414	502	708
415	503	707
416	504	705
417	505	703
418	506	701
419	506	699
420	507	698
421	508	696
422	509	694
423	509	692
424	510	691
425	512	690
426	513	688
427	514	687
428	515	685
429	516	684
430	517	682
431	517	681
432	518	679
433	519	678
434	521	676
435	522	675
436	523	674
437	524	672
438	525	670
439	526	669
440	527	668
441	528	667
442	529	665
443	530	663
444	530	662
445	531	660
446	532	659
447	533	657
448	534	656
449	535	654
450	536	653
451	537	651
452	538	650
453	539	648
454	540	647
455	541	646
456	542	644
457	543	643
458	544	642
459	545	640
460	546	639
461	547	637
462	548	636
463	549	634
464	550	633
465	551	631
466	551	629
467	552	628
468	553	626
469	554	625
470	556	624
471	557	624
472	558	622
473	559	621
474	560	619
475	561	617
476	561	616
477	562	614
478	563	612
479	564	611
480	564	609
481	565	607
482	566	606
483	567	604
484	568	603
485	568	601
486	569	599
487	570	598
488	571	597
489	572	596
490	573	594
491	574	593
492	575	591
493	576	590
494	577	588
495	578	587
496	578	585
497	579	584
498	580	583
499	581	581
500	582	580
501	583	578
502	584	577
503	585	576
504	586	574
505	587	573
506	588	572
507	589	570
508	590	569
509	590	567
510	591	566
511	592	565
512	593	563
513	594	562
514	595	560
515	596	559
516	596	557
517	597	556
518	598	554
519	599	553
520	600	551
521	601	550
522	602	549
523	603	548
524	604	546
525	605	545
526	607	545
527	608	543
528	609	542
529	610	540
530	610	539
531	611	538
532	612	536
533	613	535
534	613	533
535	614	532
536	615	531
537	617	530
538	618	528
539	618	527
540	619	525
541	620	524
542	621	523
543	622	521
544	623	520
545	623	518
546	624	517
547	625	515
548	626	514
549	627	513
550	627	511
551	628	510
552	629	509
553	630	507
554	632	506
555	633	505
556	634	504
557	634	502
558	635	501
559	636	500
560	637	499
561	638	497
562	639	496
563	640	494
564	640	493
565	641	491
566	642	490
567	643	489
568	644	487
569	645	486
570	646	485
571	647	484
572	648	483
573	649	481
574	650	480
575	651	479
576	652	478
577	653	476
578	653	475
579	654	474
580	655	472
581	656	471
582	657	470
583	658	469
584	659	467
585	660	466
586	661	465
587	662	464
588	663	462
589	664	461
590	665	460
591	666	459
592	667	458
593	669	457
594	670	456
595	671	455
596	673	454
597	674	453
598	675	452
599	677	451
600	678	450
601	679	449
602	680	447
603	681	446
604	682	445
605	683	444
606	684	443
607	685	441
608	685	440
609	686	439
610	687	437
611	688	436
612	690	435
613	691	434
614	693	433
615	694	432
616	694	431
617	695	430
618	696	428
619	697	427
620	698	426
621	699	425
622	700	423
623	701	422
624	701	421
625	702	419
626	703	418
627	705	417
628	706	416
629	708	415
630	709	414
631	709	413
632	710	412
633	711	410
634	712	409
635	713	408
636	714	407
637	715	405
638	715	404
639	716	403
640	717	401
641	718	400
642	719	399
643	720	398
644	722	397
645	723	396
646	724	395
647	725	393
648	726	392
649	726	391
650	727	390
651	728	388
652	729	387
653	729	386
654	730	384
655	731	383
656	732	382
657	732	380
658	733	379
659	734	378
660	736	377
661	737	376
662	738	375
663	739	374
664	740	373
665	741	371
666	742	370
667	743	369
668	744	368
669	745	367
670	745	365
671	746	364
672	747	363
673	748	361
674	749	360
675	750	359
676	752	358
677	753	357
678	754	356
679	755	355
680	755	354
681	756	352
682	757	351
683	758	350
684	758	348
685	759	347
686	760	346
687	761	345
688	761	343
689	762	342
690	763	341
691	765	340
692	766	339
693	767	338
694	768	337
695	769	335
696	770	334
697	770	333
698	771	332
699	772	331
700	773	329
701	774	328
702	775	327
703	776	326
704	777	325
705	779	324
706	780	323
707	781	322
708	782	321
709	783	320
710	784	318
711	785	317
712	786	316
713	787	315
714	787	314
715	788	312
716	789	311
717	790	310
718	791	309
719	792	308
720	794	307
721	795	306
722	797	305
723	798	304
724	799	303
725	799	301
726	800	300
727	801	299
728	802	298
729	803	297
730	804	296
731	805	294
732	806	293
733	807	292
734	808	291
735	810	290
736	811	289
737	812	288
738	813	287
739	815	286
740	816	285
741	817	284
742	818	282
743	819	282
744	820	281
745	822	279
746	824	279
747	825	278
748	827	277
749	828	276
750	829	275
751	830	273
752	831	272
753	832	271
754	833	270
755	834	269
756	835	268
757	837	267
758	839	266
759	840	265
760	841	264
761	842	263
762	843	262
763	844	260
764	845	259
765	846	258
766	847	257
767	848	256
768	849	255
769	850	253
770	851	252
771	852	251
772	853	250
773	855	249
774	856	248
775	857	247
776	858	246
777	859	245
778	860	244
779	861	243
780	862	241
781	864	240
782	865	239
783	866	238
784	868	237
785	869	236
786	870	235
787	871	234
788	872	233
789	874	232
790	875	231
791	877	230
792	878	229
793	879	228
794	880	226
795	881	225
796	883	225
797	885	224
798	886	222
799	887	221
800	888	220
801	889	219
802	890	218
803	891	217
804	892	216
805	893	215
806	894	213
807	895	212
808	897	211
809	898	210
810	899	209
811	900	208
812	901	207
813	903	206
814	904	205
815	905	204
816	906	202
817	907	201
818	908	200
819	909	199
820	910	198
821	911	197
822	913	196
823	914	195
824	915	194
825	916	193
826	917	191
827	918	190
828	919	189
829	920	188
830	921	187
831	922	186
832	923	185
833	926	184
834	927	183
835	928	182
836	930	181
837	931	180
838	932	178
839	933	177
840	934	176
841	935	175
842	936	174
843	937	173
844	938	172
845	939	170
846	940	169
847	941	168
848	942	167
849	943	166
850	944	165
851	945	164
852	946	163
853	947	161
854	947	160
855	948	159
856	949	158
857	950	157
858	951	156
859	952	155
860	953	153
861	956	153
862	957	152
863	959	150
864	960	149
865	962	148
866	963	147
867	965	146
868	967	145
869	968	144
870	970	143
871	972	142
872	973	141
873	975	140
874	977	139
875	979	138
876	981	137
877	982	136
878	983	135
879	985	134
880	995	134
881	999	133
882	1002	132
883	1003	131
884	1005	130
885	1007	129
886	1008	128
887	1009	127
888	1010	126
889	1011	125
890	1013	123
891	1014	122
892	1015	121
893	1017	120
894	1018	119
895	1019	118
896	1020	117
897	1021	116
898	1022	114
899	1023	113
900	1025	112
901	1026	111
902	1027	110
903	1028	109
904	1030	108
905	1031	107
906	1033	105
907	1034	104
908	1035	103
909	1036	102
910	1037	101
911	1038	100
912	1039	99
913	1041	97
914	1042	96
915	1043	95
916	1044	94
917	1045	93
918	1046	92
919	1048	91
920	1049	90
921	1050	88
922	1051	87
923	1052	86
924	1053	85
925	1054	84
926	1055	83
927	1056	82
928	1058	80
929	1059	79
930	1060	78
931	1061	77
932	1062	76
933	1063	75
934	1064	74
935	1065	72
936	1066	71
937	1067	70
938	1068	69
939	1069	68
940	1070	67
941	1071	65
942	1072	64
943	1073	63
944	1074	62
945	1075	61
946	1076	60
947	1077	59
948	1078	57
949	1079	56
950	1080	55
951	1081	54
952	1082	53
953	1082	52
954	1083	51
955	1084	49
956	1085	48
957	1085	47
958	1086	46
959	1087	45
960	1088	44
961	1089	43
962	1089	41
963	1090	40
964	1091	39
965	1092	38
966	1093	37
967	1094	36
968	1095	35
969	1096	33
970	1097	32
971	1097	31
972	1098	30
973	1099	29
974	1100	28
975	1101	27
976	1101	25
977	1102	24
978	1103	23
979	1104	22
980	1105	21
981	1106	20
982	1107	19
983	1108	18
984	1109	16
985	1110	15
986	1111	14
987	1111	13
988	1112	12
989	1113	11
990	1114	10
991	1115	8
992	1115	7
993	1116	6
994	1117	5
995	1118	4
996	1119	3
997	1119	2
998	1120	1
999	1121	0
